,road,abbrevs
38,US 9,"us 9,us-9,us9,u.s. 9,u.s.-9,u.s.9,us route 9,us route-9,us route9,u.s. route 9,u.s. route-9,u.s. route9,us rte 9,us rte-9,us rte9,u.s. rte 9,u.s. rte-9,u.s. rte9,us-route 9,us-route-9,us-route9,u.s.-route 9,u.s.-route-9,u.s.-route9,us-rte 9,us-rte-9,us-rte9,u.s.-rte 9,u.s.-rte-9,u.s.-rte9"
39,US 10,"us 10,us-10,us10,u.s. 10,u.s.-10,u.s.10,us route 10,us route-10,us route10,u.s. route 10,u.s. route-10,u.s. route10,us rte 10,us rte-10,us rte10,u.s. rte 10,u.s. rte-10,u.s. rte10,us-route 10,us-route-10,us-route10,u.s.-route 10,u.s.-route-10,u.s.-route10,us-rte 10,us-rte-10,us-rte10,u.s.-rte 10,u.s.-rte-10,u.s.-rte10"
40,US 11,"us 11,us-11,us11,u.s. 11,u.s.-11,u.s.11,us route 11,us route-11,us route11,u.s. route 11,u.s. route-11,u.s. route11,us rte 11,us rte-11,us rte11,u.s. rte 11,u.s. rte-11,u.s. rte11,us-route 11,us-route-11,us-route11,u.s.-route 11,u.s.-route-11,u.s.-route11,us-rte 11,us-rte-11,us-rte11,u.s.-rte 11,u.s.-rte-11,u.s.-rte11"
41,US 12,"us 12,us-12,us12,u.s. 12,u.s.-12,u.s.12,us route 12,us route-12,us route12,u.s. route 12,u.s. route-12,u.s. route12,us rte 12,us rte-12,us rte12,u.s. rte 12,u.s. rte-12,u.s. rte12,us-route 12,us-route-12,us-route12,u.s.-route 12,u.s.-route-12,u.s.-route12,us-rte 12,us-rte-12,us-rte12,u.s.-rte 12,u.s.-rte-12,u.s.-rte12"
42,US 13,"us 13,us-13,us13,u.s. 13,u.s.-13,u.s.13,us route 13,us route-13,us route13,u.s. route 13,u.s. route-13,u.s. route13,us rte 13,us rte-13,us rte13,u.s. rte 13,u.s. rte-13,u.s. rte13,us-route 13,us-route-13,us-route13,u.s.-route 13,u.s.-route-13,u.s.-route13,us-rte 13,us-rte-13,us-rte13,u.s.-rte 13,u.s.-rte-13,u.s.-rte13"
43,US 14,"us 14,us-14,us14,u.s. 14,u.s.-14,u.s.14,us route 14,us route-14,us route14,u.s. route 14,u.s. route-14,u.s. route14,us rte 14,us rte-14,us rte14,u.s. rte 14,u.s. rte-14,u.s. rte14,us-route 14,us-route-14,us-route14,u.s.-route 14,u.s.-route-14,u.s.-route14,us-rte 14,us-rte-14,us-rte14,u.s.-rte 14,u.s.-rte-14,u.s.-rte14"
44,US 15,"us 15,us-15,us15,u.s. 15,u.s.-15,u.s.15,us route 15,us route-15,us route15,u.s. route 15,u.s. route-15,u.s. route15,us rte 15,us rte-15,us rte15,u.s. rte 15,u.s. rte-15,u.s. rte15,us-route 15,us-route-15,us-route15,u.s.-route 15,u.s.-route-15,u.s.-route15,us-rte 15,us-rte-15,us-rte15,u.s.-rte 15,u.s.-rte-15,u.s.-rte15"
45,US 16,"us 16,us-16,us16,u.s. 16,u.s.-16,u.s.16,us route 16,us route-16,us route16,u.s. route 16,u.s. route-16,u.s. route16,us rte 16,us rte-16,us rte16,u.s. rte 16,u.s. rte-16,u.s. rte16,us-route 16,us-route-16,us-route16,u.s.-route 16,u.s.-route-16,u.s.-route16,us-rte 16,us-rte-16,us-rte16,u.s.-rte 16,u.s.-rte-16,u.s.-rte16"
46,US 17,"us 17,us-17,us17,u.s. 17,u.s.-17,u.s.17,us route 17,us route-17,us route17,u.s. route 17,u.s. route-17,u.s. route17,us rte 17,us rte-17,us rte17,u.s. rte 17,u.s. rte-17,u.s. rte17,us-route 17,us-route-17,us-route17,u.s.-route 17,u.s.-route-17,u.s.-route17,us-rte 17,us-rte-17,us-rte17,u.s.-rte 17,u.s.-rte-17,u.s.-rte17"
47,US 18,"us 18,us-18,us18,u.s. 18,u.s.-18,u.s.18,us route 18,us route-18,us route18,u.s. route 18,u.s. route-18,u.s. route18,us rte 18,us rte-18,us rte18,u.s. rte 18,u.s. rte-18,u.s. rte18,us-route 18,us-route-18,us-route18,u.s.-route 18,u.s.-route-18,u.s.-route18,us-rte 18,us-rte-18,us-rte18,u.s.-rte 18,u.s.-rte-18,u.s.-rte18"
