,road,abbrevs
41,US 25,"us 25,us-25,us25,u.s. 25,u.s.-25,u.s.25,us route 25,us route-25,us route25,u.s. route 25,u.s. route-25,u.s. route25,us rte 25,us rte-25,us rte25,u.s. rte 25,u.s. rte-25,u.s. rte25,us-route 25,us-route-25,us-route25,u.s.-route 25,u.s.-route-25,u.s.-route25,us-rte 25,us-rte-25,us-rte25,u.s.-rte 25,u.s.-rte-25,u.s.-rte25"
42,US 26,"us 26,us-26,us26,u.s. 26,u.s.-26,u.s.26,us route 26,us route-26,us route26,u.s. route 26,u.s. route-26,u.s. route26,us rte 26,us rte-26,us rte26,u.s. rte 26,u.s. rte-26,u.s. rte26,us-route 26,us-route-26,us-route26,u.s.-route 26,u.s.-route-26,u.s.-route26,us-rte 26,us-rte-26,us-rte26,u.s.-rte 26,u.s.-rte-26,u.s.-rte26"
43,US 27,"us 27,us-27,us27,u.s. 27,u.s.-27,u.s.27,us route 27,us route-27,us route27,u.s. route 27,u.s. route-27,u.s. route27,us rte 27,us rte-27,us rte27,u.s. rte 27,u.s. rte-27,u.s. rte27,us-route 27,us-route-27,us-route27,u.s.-route 27,u.s.-route-27,u.s.-route27,us-rte 27,us-rte-27,us-rte27,u.s.-rte 27,u.s.-rte-27,u.s.-rte27"
44,US 29,"us 29,us-29,us29,u.s. 29,u.s.-29,u.s.29,us route 29,us route-29,us route29,u.s. route 29,u.s. route-29,u.s. route29,us rte 29,us rte-29,us rte29,u.s. rte 29,u.s. rte-29,u.s. rte29,us-route 29,us-route-29,us-route29,u.s.-route 29,u.s.-route-29,u.s.-route29,us-rte 29,us-rte-29,us-rte29,u.s.-rte 29,u.s.-rte-29,u.s.-rte29"
45,US 30,"us 30,us-30,us30,u.s. 30,u.s.-30,u.s.30,us route 30,us route-30,us route30,u.s. route 30,u.s. route-30,u.s. route30,us rte 30,us rte-30,us rte30,u.s. rte 30,u.s. rte-30,u.s. rte30,us-route 30,us-route-30,us-route30,u.s.-route 30,u.s.-route-30,u.s.-route30,us-rte 30,us-rte-30,us-rte30,u.s.-rte 30,u.s.-rte-30,u.s.-rte30"
46,US 31,"us 31,us-31,us31,u.s. 31,u.s.-31,u.s.31,us route 31,us route-31,us route31,u.s. route 31,u.s. route-31,u.s. route31,us rte 31,us rte-31,us rte31,u.s. rte 31,u.s. rte-31,u.s. rte31,us-route 31,us-route-31,us-route31,u.s.-route 31,u.s.-route-31,u.s.-route31,us-rte 31,us-rte-31,us-rte31,u.s.-rte 31,u.s.-rte-31,u.s.-rte31"
47,US 33,"us 33,us-33,us33,u.s. 33,u.s.-33,u.s.33,us route 33,us route-33,us route33,u.s. route 33,u.s. route-33,u.s. route33,us rte 33,us rte-33,us rte33,u.s. rte 33,u.s. rte-33,u.s. rte33,us-route 33,us-route-33,us-route33,u.s.-route 33,u.s.-route-33,u.s.-route33,us-rte 33,us-rte-33,us-rte33,u.s.-rte 33,u.s.-rte-33,u.s.-rte33"
48,US 34,"us 34,us-34,us34,u.s. 34,u.s.-34,u.s.34,us route 34,us route-34,us route34,u.s. route 34,u.s. route-34,u.s. route34,us rte 34,us rte-34,us rte34,u.s. rte 34,u.s. rte-34,u.s. rte34,us-route 34,us-route-34,us-route34,u.s.-route 34,u.s.-route-34,u.s.-route34,us-rte 34,us-rte-34,us-rte34,u.s.-rte 34,u.s.-rte-34,u.s.-rte34"
49,US 35,"us 35,us-35,us35,u.s. 35,u.s.-35,u.s.35,us route 35,us route-35,us route35,u.s. route 35,u.s. route-35,u.s. route35,us rte 35,us rte-35,us rte35,u.s. rte 35,u.s. rte-35,u.s. rte35,us-route 35,us-route-35,us-route35,u.s.-route 35,u.s.-route-35,u.s.-route35,us-rte 35,us-rte-35,us-rte35,u.s.-rte 35,u.s.-rte-35,u.s.-rte35"
50,US 36,"us 36,us-36,us36,u.s. 36,u.s.-36,u.s.36,us route 36,us route-36,us route36,u.s. route 36,u.s. route-36,u.s. route36,us rte 36,us rte-36,us rte36,u.s. rte 36,u.s. rte-36,u.s. rte36,us-route 36,us-route-36,us-route36,u.s.-route 36,u.s.-route-36,u.s.-route36,us-rte 36,us-rte-36,us-rte36,u.s.-rte 36,u.s.-rte-36,u.s.-rte36"
51,US 40,"us 40,us-40,us40,u.s. 40,u.s.-40,u.s.40,us route 40,us route-40,us route40,u.s. route 40,u.s. route-40,u.s. route40,us rte 40,us rte-40,us rte40,u.s. rte 40,u.s. rte-40,u.s. rte40,us-route 40,us-route-40,us-route40,u.s.-route 40,u.s.-route-40,u.s.-route40,us-rte 40,us-rte-40,us-rte40,u.s.-rte 40,u.s.-rte-40,u.s.-rte40"
52,US 41,"us 41,us-41,us41,u.s. 41,u.s.-41,u.s.41,us route 41,us route-41,us route41,u.s. route 41,u.s. route-41,u.s. route41,us rte 41,us rte-41,us rte41,u.s. rte 41,u.s. rte-41,u.s. rte41,us-route 41,us-route-41,us-route41,u.s.-route 41,u.s.-route-41,u.s.-route41,us-rte 41,us-rte-41,us-rte41,u.s.-rte 41,u.s.-rte-41,u.s.-rte41"
53,US 42,"us 42,us-42,us42,u.s. 42,u.s.-42,u.s.42,us route 42,us route-42,us route42,u.s. route 42,u.s. route-42,u.s. route42,us rte 42,us rte-42,us rte42,u.s. rte 42,u.s. rte-42,u.s. rte42,us-route 42,us-route-42,us-route42,u.s.-route 42,u.s.-route-42,u.s.-route42,us-rte 42,us-rte-42,us-rte42,u.s.-rte 42,u.s.-rte-42,u.s.-rte42"
54,US 43,"us 43,us-43,us43,u.s. 43,u.s.-43,u.s.43,us route 43,us route-43,us route43,u.s. route 43,u.s. route-43,u.s. route43,us rte 43,us rte-43,us rte43,u.s. rte 43,u.s. rte-43,u.s. rte43,us-route 43,us-route-43,us-route43,u.s.-route 43,u.s.-route-43,u.s.-route43,us-rte 43,us-rte-43,us-rte43,u.s.-rte 43,u.s.-rte-43,u.s.-rte43"
55,US 44,"us 44,us-44,us44,u.s. 44,u.s.-44,u.s.44,us route 44,us route-44,us route44,u.s. route 44,u.s. route-44,u.s. route44,us rte 44,us rte-44,us rte44,u.s. rte 44,u.s. rte-44,u.s. rte44,us-route 44,us-route-44,us-route44,u.s.-route 44,u.s.-route-44,u.s.-route44,us-rte 44,us-rte-44,us-rte44,u.s.-rte 44,u.s.-rte-44,u.s.-rte44"
56,US 45,"us 45,us-45,us45,u.s. 45,u.s.-45,u.s.45,us route 45,us route-45,us route45,u.s. route 45,u.s. route-45,u.s. route45,us rte 45,us rte-45,us rte45,u.s. rte 45,u.s. rte-45,u.s. rte45,us-route 45,us-route-45,us-route45,u.s.-route 45,u.s.-route-45,u.s.-route45,us-rte 45,us-rte-45,us-rte45,u.s.-rte 45,u.s.-rte-45,u.s.-rte45"
57,US 46,"us 46,us-46,us46,u.s. 46,u.s.-46,u.s.46,us route 46,us route-46,us route46,u.s. route 46,u.s. route-46,u.s. route46,us rte 46,us rte-46,us rte46,u.s. rte 46,u.s. rte-46,u.s. rte46,us-route 46,us-route-46,us-route46,u.s.-route 46,u.s.-route-46,u.s.-route46,us-rte 46,us-rte-46,us-rte46,u.s.-rte 46,u.s.-rte-46,u.s.-rte46"
58,US 48,"us 48,us-48,us48,u.s. 48,u.s.-48,u.s.48,us route 48,us route-48,us route48,u.s. route 48,u.s. route-48,u.s. route48,us rte 48,us rte-48,us rte48,u.s. rte 48,u.s. rte-48,u.s. rte48,us-route 48,us-route-48,us-route48,u.s.-route 48,u.s.-route-48,u.s.-route48,us-rte 48,us-rte-48,us-rte48,u.s.-rte 48,u.s.-rte-48,u.s.-rte48"
59,US 49,"us 49,us-49,us49,u.s. 49,u.s.-49,u.s.49,us route 49,us route-49,us route49,u.s. route 49,u.s. route-49,u.s. route49,us rte 49,us rte-49,us rte49,u.s. rte 49,u.s. rte-49,u.s. rte49,us-route 49,us-route-49,us-route49,u.s.-route 49,u.s.-route-49,u.s.-route49,us-rte 49,us-rte-49,us-rte49,u.s.-rte 49,u.s.-rte-49,u.s.-rte49"
60,US 50,"us 50,us-50,us50,u.s. 50,u.s.-50,u.s.50,us route 50,us route-50,us route50,u.s. route 50,u.s. route-50,u.s. route50,us rte 50,us rte-50,us rte50,u.s. rte 50,u.s. rte-50,u.s. rte50,us-route 50,us-route-50,us-route50,u.s.-route 50,u.s.-route-50,u.s.-route50,us-rte 50,us-rte-50,us-rte50,u.s.-rte 50,u.s.-rte-50,u.s.-rte50"
61,US 51,"us 51,us-51,us51,u.s. 51,u.s.-51,u.s.51,us route 51,us route-51,us route51,u.s. route 51,u.s. route-51,u.s. route51,us rte 51,us rte-51,us rte51,u.s. rte 51,u.s. rte-51,u.s. rte51,us-route 51,us-route-51,us-route51,u.s.-route 51,u.s.-route-51,u.s.-route51,us-rte 51,us-rte-51,us-rte51,u.s.-rte 51,u.s.-rte-51,u.s.-rte51"
62,US 52,"us 52,us-52,us52,u.s. 52,u.s.-52,u.s.52,us route 52,us route-52,us route52,u.s. route 52,u.s. route-52,u.s. route52,us rte 52,us rte-52,us rte52,u.s. rte 52,u.s. rte-52,u.s. rte52,us-route 52,us-route-52,us-route52,u.s.-route 52,u.s.-route-52,u.s.-route52,us-rte 52,us-rte-52,us-rte52,u.s.-rte 52,u.s.-rte-52,u.s.-rte52"
63,US 53,"us 53,us-53,us53,u.s. 53,u.s.-53,u.s.53,us route 53,us route-53,us route53,u.s. route 53,u.s. route-53,u.s. route53,us rte 53,us rte-53,us rte53,u.s. rte 53,u.s. rte-53,u.s. rte53,us-route 53,us-route-53,us-route53,u.s.-route 53,u.s.-route-53,u.s.-route53,us-rte 53,us-rte-53,us-rte53,u.s.-rte 53,u.s.-rte-53,u.s.-rte53"
64,US 54,"us 54,us-54,us54,u.s. 54,u.s.-54,u.s.54,us route 54,us route-54,us route54,u.s. route 54,u.s. route-54,u.s. route54,us rte 54,us rte-54,us rte54,u.s. rte 54,u.s. rte-54,u.s. rte54,us-route 54,us-route-54,us-route54,u.s.-route 54,u.s.-route-54,u.s.-route54,us-rte 54,us-rte-54,us-rte54,u.s.-rte 54,u.s.-rte-54,u.s.-rte54"
65,US 56,"us 56,us-56,us56,u.s. 56,u.s.-56,u.s.56,us route 56,us route-56,us route56,u.s. route 56,u.s. route-56,u.s. route56,us rte 56,us rte-56,us rte56,u.s. rte 56,u.s. rte-56,u.s. rte56,us-route 56,us-route-56,us-route56,u.s.-route 56,u.s.-route-56,u.s.-route56,us-rte 56,us-rte-56,us-rte56,u.s.-rte 56,u.s.-rte-56,u.s.-rte56"
